UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
6904,9/1/2016 12:00:00 AM,01:55:04,3.37,51,30.42,103,66.06,5.62,22020,67080
7205,9/1/2016 12:00:00 AM,02:00:05,3.51,51,30.41,103,135.75,14.62,22020,67080
7505,9/1/2016 12:00:00 AM,02:05:05,2.84,51,30.41,103,127.54,12.37,22020,67080
7809,9/1/2016 12:00:00 AM,02:10:09,3.26,51,30.41,103,158.09,4.5,22020,67080
8103,9/1/2016 12:00:00 AM,02:15:03,2.57,51,30.41,103,131.57,12.37,22020,67080
8408,9/1/2016 12:00:00 AM,02:20:08,2.58,51,30.41,103,166.75,7.87,22020,67080
8706,9/1/2016 12:00:00 AM,02:25:06,3.24,51,30.4,103,109.84,9.0,22020,67080
9006,9/1/2016 12:00:00 AM,02:30:06,2.87,51,30.4,103,143.65,14.62,22020,67080
9310,9/1/2016 12:00:00 AM,02:35:10,2.52,51,30.4,103,105.55,5.62,22020,67080
9609,9/1/2016 12:00:00 AM,02:40:09,2.74,51,30.4,103,117.72,11.25,22020,67080
9904,9/1/2016 12:00:00 AM,02:45:04,2.3,51,30.4,103,119.72,12.37,22020,67080
10207,9/1/2016 12:00:00 AM,02:50:07,2.25,51,30.4,103,164.35,9.0,22020,67080
10504,9/1/2016 12:00:00 AM,02:55:04,2.12,51,30.4,103,156.3,2.25,22020,67080
11105,9/1/2016 12:00:00 AM,03:05:05,1.94,51,30.4,103,87.85,4.5,22020,67080
11406,9/1/2016 12:00:00 AM,03:10:06,2.03,51,30.4,103,77.73,7.87,22020,67080
11706,9/1/2016 12:00:00 AM,03:15:06,2.26,51,30.4,103,90.87,1.12,22020,67080
12008,9/1/2016 12:00:00 AM,03:20:08,2.27,51,30.4,103,78.56,9.0,22020,67080
12312,9/1/2016 12:00:00 AM,03:25:12,2.63,51,30.4,103,69.28,2.25,22020,67080
12605,9/1/2016 12:00:00 AM,03:30:05,2.93,51,30.4,103,78.66,4.5,22020,67080
12907,9/1/2016 12:00:00 AM,03:35:07,2.59,51,30.4,103,51.52,5.62,22020,67080
13208,9/1/2016 12:00:00 AM,03:40:08,2.83,51,30.4,102,97.24,6.75,22020,67080
13507,9/1/2016 12:00:00 AM,03:45:07,2.17,51,30.4,102,80.72,6.75,22020,67080
13804,9/1/2016 12:00:00 AM,03:50:04,2.12,50,30.4,102,101.26,9.0,22020,67080
14112,9/1/2016 12:00:00 AM,03:55:12,2.02,50,30.4,102,168.14,3.37,22020,67080
14404,9/1/2016 12:00:00 AM,04:00:04,1.69,50,30.4,102,130.43,10.12,22020,67080
14707,9/1/2016 12:00:00 AM,04:05:07,2.03,49,30.4,102,145.36,7.87,22020,67080
15003,9/1/2016 12:00:00 AM,04:10:03,3.35,49,30.4,102,67.42,7.87,22020,67080
15304,9/1/2016 12:00:00 AM,04:15:04,2.34,49,30.41,102,133.75,9.0,22020,67080
15604,9/1/2016 12:00:00 AM,04:20:04,2.2,49,30.41,102,112.54,9.0,22020,67080
15903,9/1/2016 12:00:00 AM,04:25:03,2.63,49,30.41,102,125.24,12.37,22020,67080
16203,9/1/2016 12:00:00 AM,04:30:03,3.2,49,30.41,102,150.52,5.62,22020,67080
16504,9/1/2016 12:00:00 AM,04:35:04,2.85,49,30.41,102,121.97,6.75,22020,67080
16807,9/1/2016 12:00:00 AM,04:40:07,2.38,49,30.41,102,132.09,6.75,22020,67080
17108,9/1/2016 12:00:00 AM,04:45:08,2.67,49,30.41,102,94.79,1.12,22020,67080
17407,9/1/2016 12:00:00 AM,04:50:07,3.22,49,30.41,102,80.05,2.25,22020,67080
17705,9/1/2016 12:00:00 AM,04:55:05,2.73,49,30.41,102,123.83,16.87,22020,67080
18011,9/1/2016 12:00:00 AM,05:00:11,1.61,49,30.42,102,155.32,3.37,22020,67080
18305,9/1/2016 12:00:00 AM,05:05:05,1.85,50,30.41,102,159.86,7.87,22020,67080
18609,9/1/2016 12:00:00 AM,05:10:09,1.71,50,30.41,102,127.27,10.12,22020,67080
18906,9/1/2016 12:00:00 AM,05:15:06,1.76,50,30.41,102,172.87,9.0,22020,67080
19205,9/1/2016 12:00:00 AM,05:20:05,1.73,49,30.41,102,143.95,11.25,22020,67080
19504,9/1/2016 12:00:00 AM,05:25:04,1.71,49,30.41,102,164.16,9.0,22020,67080
19807,9/1/2016 12:00:00 AM,05:30:07,1.71,49,30.41,101,152.03,11.25,22020,67080
20405,9/1/2016 12:00:00 AM,05:40:05,2.02,48,30.41,92,118.18,3.37,22020,67080
20705,9/1/2016 12:00:00 AM,05:45:05,1.87,48,30.42,86,120.92,9.0,22020,67080
21012,9/1/2016 12:00:00 AM,05:50:12,1.72,48,30.41,80,131.69,10.12,22020,67080
21607,9/1/2016 12:00:00 AM,06:00:07,4.43,49,30.41,76,169.53,6.75,22020,67080
21907,9/1/2016 12:00:00 AM,06:05:07,8.3,48,30.41,76,156.43,10.12,22020,67080
22210,9/1/2016 12:00:00 AM,06:10:10,9.09,48,30.41,72,130.7,4.5,22020,67080
22506,9/1/2016 12:00:00 AM,06:15:06,11.28,49,30.41,73,157.94,6.75,22020,67080
22810,9/1/2016 12:00:00 AM,06:20:10,13.64,49,30.41,73,150.24,13.5,22020,67080
23107,9/1/2016 12:00:00 AM,06:25:07,18.71,49,30.41,71,164.95,4.5,22020,67080
23709,9/1/2016 12:00:00 AM,06:35:09,27.94,50,30.42,76,92.89,7.87,22020,67080
24008,9/1/2016 12:00:00 AM,06:40:08,43.99,49,30.42,82,161.38,11.25,22020,67080
24308,9/1/2016 12:00:00 AM,06:45:08,53.19,49,30.42,90,92.24,5.62,22020,67080
24608,9/1/2016 12:00:00 AM,06:50:08,43.18,49,30.42,90,106.62,11.25,22020,67080
25206,9/1/2016 12:00:00 AM,07:00:06,51.8,49,30.42,78,151.26,12.37,22020,67080
25506,9/1/2016 12:00:00 AM,07:05:06,63.75,50,30.42,76,112.56,6.75,22020,67080
25809,9/1/2016 12:00:00 AM,07:10:09,62.49,50,30.42,78,158.97,13.5,22020,67080
26105,9/1/2016 12:00:00 AM,07:15:05,87.65,50,30.43,78,153.19,9.0,22020,67080
26405,9/1/2016 12:00:00 AM,07:20:05,92.24,50,30.43,81,104.53,3.37,22020,67080
27305,9/1/2016 12:00:00 AM,07:35:05,155.07,50,30.43,92,97.22,2.25,22020,67080
27605,9/1/2016 12:00:00 AM,07:40:05,242.53,51,30.44,94,57.78,6.75,22020,67080
28207,9/1/2016 12:00:00 AM,07:50:07,146.12,51,30.44,95,21.02,2.25,22020,67080
28505,9/1/2016 12:00:00 AM,07:55:05,183.46,51,30.44,96,123.96,5.62,22020,67080
29404,9/1/2016 12:00:00 AM,08:10:04,406.11,51,30.45,99,141.67,4.5,22020,67080
29706,9/1/2016 12:00:00 AM,08:15:06,449.0,52,30.45,93,119.67,13.5,22020,67080
30007,9/1/2016 12:00:00 AM,08:20:07,555.78,53,30.45,82,107.81,12.37,22020,67080
30304,9/1/2016 12:00:00 AM,08:25:04,587.37,53,30.45,78,204.79,3.37,22020,67080
30605,9/1/2016 12:00:00 AM,08:30:05,386.25,54,30.45,74,34.72,4.5,22020,67080
30906,9/1/2016 12:00:00 AM,08:35:06,633.24,53,30.45,72,133.06,10.12,22020,67080
31209,9/1/2016 12:00:00 AM,08:40:09,234.56,54,30.45,73,27.41,7.87,22020,67080
31808,9/1/2016 12:00:00 AM,08:50:08,462.71,53,30.45,75,170.1,3.37,22020,67080
32411,9/1/2016 12:00:00 AM,09:00:11,786.81,54,30.46,69,105.07,9.0,22020,67080
32708,9/1/2016 12:00:00 AM,09:05:08,708.67,55,30.46,69,76.68,5.62,22020,67080
33007,9/1/2016 12:00:00 AM,09:10:07,398.94,54,30.46,81,48.17,3.37,22020,67080
33305,9/1/2016 12:00:00 AM,09:15:05,793.15,54,30.46,78,181.52,12.37,22020,67080
33608,9/1/2016 12:00:00 AM,09:20:08,838.66,54,30.46,85,93.05,9.0,22020,67080
33909,9/1/2016 12:00:00 AM,09:25:09,724.35,55,30.46,72,151.48,3.37,22020,67080
34207,9/1/2016 12:00:00 AM,09:30:07,831.38,56,30.46,71,125.63,6.75,22020,67080
34511,9/1/2016 12:00:00 AM,09:35:11,725.35,56,30.46,69,44.53,5.62,22020,67080
34808,9/1/2016 12:00:00 AM,09:40:08,794.6,56,30.46,71,130.75,12.37,22020,67080
35707,9/1/2016 12:00:00 AM,09:55:07,899.06,57,30.47,76,109.5,7.87,22020,67080
36007,9/1/2016 12:00:00 AM,10:00:07,928.27,57,30.47,77,37.85,4.5,22020,67080
36309,9/1/2016 12:00:00 AM,10:05:09,999.94,57,30.47,76,80.8,9.0,22020,67080
36606,9/1/2016 12:00:00 AM,10:10:06,916.47,57,30.47,76,71.14,4.5,22020,67080
36905,9/1/2016 12:00:00 AM,10:15:05,986.69,58,30.47,73,140.16,13.5,22020,67080
37208,9/1/2016 12:00:00 AM,10:20:08,486.31,58,30.47,70,177.82,7.87,22020,67080
38108,9/1/2016 12:00:00 AM,10:35:08,1073.71,58,30.47,74,335.52,5.62,22020,67080
38409,9/1/2016 12:00:00 AM,10:40:09,1027.63,58,30.47,74,166.72,4.5,22020,67080
38704,9/1/2016 12:00:00 AM,10:45:04,1006.1,58,30.47,73,72.66,7.87,22020,67080
39003,9/1/2016 12:00:00 AM,10:50:03,1012.53,59,30.47,78,134.81,5.62,22020,67080
39306,9/1/2016 12:00:00 AM,10:55:06,1008.46,59,30.47,74,85.75,6.75,22020,67080
39606,9/1/2016 12:00:00 AM,11:00:06,1013.32,59,30.47,71,46.61,16.87,22020,67080
40206,9/1/2016 12:00:00 AM,11:10:06,1009.88,58,30.47,77,68.09,7.87,22020,67080
40807,9/1/2016 12:00:00 AM,11:20:07,978.36,58,30.46,76,89.95,11.25,22020,67080
41108,9/1/2016 12:00:00 AM,11:25:08,952.03,58,30.46,77,46.19,14.62,22020,67080
41405,9/1/2016 12:00:00 AM,11:30:05,974.1,59,30.46,73,110.8,7.87,22020,67080
41709,9/1/2016 12:00:00 AM,11:35:09,1005.43,59,30.46,76,37.34,10.12,22020,67080
42009,9/1/2016 12:00:00 AM,11:40:09,1000.96,59,30.46,71,31.44,11.25,22020,67080
42605,9/1/2016 12:00:00 AM,11:50:05,1063.06,60,30.46,71,38.77,3.37,22020,67080
42908,9/1/2016 12:00:00 AM,11:55:08,1061.27,60,30.46,72,89.07,7.87,22020,67080
43210,9/1/2016 12:00:00 AM,12:00:10,1065.3,60,30.46,73,28.35,5.62,22020,67080
43505,9/1/2016 12:00:00 AM,12:05:05,1070.12,60,30.46,69,62.41,5.62,22020,67080
44109,9/1/2016 12:00:00 AM,12:15:09,1067.15,60,30.46,71,105.16,6.75,22020,67080
44405,9/1/2016 12:00:00 AM,12:20:05,1072.24,60,30.45,68,38.74,11.25,22020,67080
45007,9/1/2016 12:00:00 AM,12:30:07,1072.94,60,30.45,68,8.97,5.62,22020,67080
45605,9/1/2016 12:00:00 AM,12:40:05,1073.43,60,30.45,60,63.24,11.25,22020,67080
45906,9/1/2016 12:00:00 AM,12:45:06,1069.16,61,30.45,62,65.54,4.5,22020,67080
46809,9/1/2016 12:00:00 AM,13:00:09,1059.15,61,30.45,64,101.98,10.12,22020,67080
47107,9/1/2016 12:00:00 AM,13:05:07,1051.8,61,30.45,68,339.64,4.5,22020,67080
47404,9/1/2016 12:00:00 AM,13:10:04,1058.61,61,30.44,61,96.98,5.62,22020,67080
47707,9/1/2016 12:00:00 AM,13:15:07,1048.67,62,30.44,57,67.84,7.87,22020,67080
48008,9/1/2016 12:00:00 AM,13:20:08,1039.12,62,30.44,65,238.47,3.37,22020,67080
48304,9/1/2016 12:00:00 AM,13:25:04,1019.48,62,30.44,65,31.15,9.0,22020,67080
48610,9/1/2016 12:00:00 AM,13:30:10,1018.59,61,30.44,66,47.08,6.75,22020,67080
48910,9/1/2016 12:00:00 AM,13:35:10,998.96,62,30.44,62,29.13,10.12,22020,67080
49207,9/1/2016 12:00:00 AM,13:40:07,1004.49,62,30.44,67,28.19,2.25,22020,67080
49805,9/1/2016 12:00:00 AM,13:50:05,989.02,62,30.43,61,120.03,6.75,22020,67080
50106,9/1/2016 12:00:00 AM,13:55:06,978.9,62,30.43,61,46.48,6.75,22020,67080
50407,9/1/2016 12:00:00 AM,14:00:07,972.4,62,30.43,57,104.9,4.5,22020,67080
50706,9/1/2016 12:00:00 AM,14:05:06,948.24,62,30.43,56,60.41,9.0,22020,67080
51006,9/1/2016 12:00:00 AM,14:10:06,942.14,63,30.43,56,94.0,4.5,22020,67080
51304,9/1/2016 12:00:00 AM,14:15:04,926.05,63,30.43,61,53.76,4.5,22020,67080
51609,9/1/2016 12:00:00 AM,14:20:09,918.24,62,30.42,59,53.03,9.0,22020,67080
51904,9/1/2016 12:00:00 AM,14:25:04,902.24,62,30.42,61,357.5,3.37,22020,67080
52205,9/1/2016 12:00:00 AM,14:30:05,884.62,63,30.42,61,39.69,7.87,22020,67080
52503,9/1/2016 12:00:00 AM,14:35:03,877.7,62,30.42,58,3.91,9.0,22020,67080
52808,9/1/2016 12:00:00 AM,14:40:08,866.92,62,30.42,59,357.11,7.87,22020,67080
53108,9/1/2016 12:00:00 AM,14:45:08,856.11,62,30.42,60,56.36,5.62,22020,67080
53404,9/1/2016 12:00:00 AM,14:50:04,843.89,62,30.42,57,60.02,11.25,22020,67080
54006,9/1/2016 12:00:00 AM,15:00:06,806.42,62,30.42,59,5.42,5.62,22020,67080
54304,9/1/2016 12:00:00 AM,15:05:04,793.65,62,30.42,58,116.21,7.87,22020,67080
54609,9/1/2016 12:00:00 AM,15:10:09,782.78,62,30.41,60,22.44,2.25,22020,67080
54907,9/1/2016 12:00:00 AM,15:15:07,773.13,63,30.41,63,92.76,11.25,22020,67080
55205,9/1/2016 12:00:00 AM,15:20:05,760.63,62,30.41,55,115.26,9.0,22020,67080
55507,9/1/2016 12:00:00 AM,15:25:07,739.28,62,30.41,58,1.89,11.25,22020,67080
55810,9/1/2016 12:00:00 AM,15:30:10,725.79,62,30.41,56,76.66,2.25,22020,67080
56403,9/1/2016 12:00:00 AM,15:40:03,689.85,63,30.42,60,329.36,5.62,22020,67080
56707,9/1/2016 12:00:00 AM,15:45:07,669.48,63,30.41,58,46.06,10.12,22020,67080
57308,9/1/2016 12:00:00 AM,15:55:08,628.8,63,30.42,58,1.55,6.75,22020,67080
57606,9/1/2016 12:00:00 AM,16:00:06,596.57,62,30.42,56,81.7,5.62,22020,67080
57907,9/1/2016 12:00:00 AM,16:05:07,577.1,62,30.42,57,53.61,7.87,22020,67080
58211,9/1/2016 12:00:00 AM,16:10:11,573.13,62,30.42,58,14.04,3.37,22020,67080
58508,9/1/2016 12:00:00 AM,16:15:08,564.1,62,30.42,58,49.52,6.75,22020,67080
58803,9/1/2016 12:00:00 AM,16:20:03,536.66,62,30.42,57,30.91,4.5,22020,67080
59106,9/1/2016 12:00:00 AM,16:25:06,497.13,63,30.42,50,79.57,5.62,22020,67080
59407,9/1/2016 12:00:00 AM,16:30:07,487.99,63,30.42,53,79.61,12.37,22020,67080
59703,9/1/2016 12:00:00 AM,16:35:03,409.4,62,30.42,53,98.89,7.87,22020,67080
60010,9/1/2016 12:00:00 AM,16:40:10,457.65,62,30.42,52,78.89,11.25,22020,67080
60304,9/1/2016 12:00:00 AM,16:45:04,394.97,62,30.43,52,99.17,6.75,22020,67080
60607,9/1/2016 12:00:00 AM,16:50:07,391.31,62,30.43,52,158.17,4.5,22020,67080
60905,9/1/2016 12:00:00 AM,16:55:05,419.82,62,30.43,53,101.72,7.87,22020,67080
61204,9/1/2016 12:00:00 AM,17:00:04,295.09,62,30.43,54,133.77,5.62,22020,67080
61508,9/1/2016 12:00:00 AM,17:05:08,135.35,61,30.43,54,150.09,9.0,22020,67080
61805,9/1/2016 12:00:00 AM,17:10:05,136.33,60,30.43,56,30.91,2.25,22020,67080
62108,9/1/2016 12:00:00 AM,17:15:08,128.31,60,30.43,59,7.77,2.25,22020,67080
62405,9/1/2016 12:00:00 AM,17:20:05,117.46,59,30.43,60,62.22,1.12,22020,67080
62704,9/1/2016 12:00:00 AM,17:25:04,107.07,59,30.43,58,94.85,5.62,22020,67080
63009,9/1/2016 12:00:00 AM,17:30:09,92.85,59,30.44,57,94.26,1.12,22020,67080
63612,9/1/2016 12:00:00 AM,17:40:12,80.18,58,30.44,56,123.45,7.87,22020,67080
64208,9/1/2016 12:00:00 AM,17:50:08,52.13,58,30.44,56,58.72,4.5,22020,67080
64508,9/1/2016 12:00:00 AM,17:55:08,46.79,58,30.44,56,65.06,3.37,22020,67080
64807,9/1/2016 12:00:00 AM,18:00:07,28.36,58,30.44,57,39.39,2.25,22020,67080
65104,9/1/2016 12:00:00 AM,18:05:04,16.63,58,30.44,54,76.68,2.25,22020,67080
65409,9/1/2016 12:00:00 AM,18:10:09,13.08,57,30.44,55,111.12,3.37,22020,67080
65709,9/1/2016 12:00:00 AM,18:15:09,11.66,57,30.44,57,125.58,4.5,22020,67080
66003,9/1/2016 12:00:00 AM,18:20:03,9.45,57,30.44,59,141.64,4.5,22020,67080
66306,9/1/2016 12:00:00 AM,18:25:06,11.46,57,30.44,59,152.66,4.5,22020,67080
67204,9/1/2016 12:00:00 AM,18:40:04,5.78,56,30.44,59,109.7,2.25,22020,67080
67505,9/1/2016 12:00:00 AM,18:45:05,4.22,56,30.44,59,115.38,6.75,22020,67080
67806,9/1/2016 12:00:00 AM,18:50:06,2.51,56,30.44,61,142.83,3.37,22020,67080
68406,9/1/2016 12:00:00 AM,19:00:06,2.77,55,30.45,63,145.28,4.5,22020,67080
68704,9/1/2016 12:00:00 AM,19:05:04,3.04,55,30.45,64,127.1,0.0,22020,67080
69006,9/1/2016 12:00:00 AM,19:10:06,2.53,55,30.45,65,155.71,3.37,22020,67080
69607,9/1/2016 12:00:00 AM,19:20:07,2.62,55,30.45,61,68.27,3.37,22020,67080
69906,9/1/2016 12:00:00 AM,19:25:06,2.63,55,30.45,60,83.02,1.12,22020,67080
70205,9/1/2016 12:00:00 AM,19:30:05,2.22,55,30.45,67,60.17,2.25,22020,67080
70506,9/1/2016 12:00:00 AM,19:35:06,2.63,54,30.45,67,129.35,4.5,22020,67080
70805,9/1/2016 12:00:00 AM,19:40:05,2.37,54,30.45,66,164.52,1.12,22020,67080
71104,9/1/2016 12:00:00 AM,19:45:04,2.48,54,30.45,65,108.06,3.37,22020,67080
71405,9/1/2016 12:00:00 AM,19:50:05,2.87,54,30.45,66,160.56,3.37,22020,67080
71704,9/1/2016 12:00:00 AM,19:55:04,2.47,54,30.45,65,104.07,3.37,22020,67080
72012,9/1/2016 12:00:00 AM,20:00:12,2.37,54,30.45,64,142.03,7.87,22020,67080
72308,9/1/2016 12:00:00 AM,20:05:08,2.38,54,30.46,64,82.95,4.5,22020,67080
72613,9/1/2016 12:00:00 AM,20:10:13,2.62,54,30.46,65,139.23,2.25,22020,67080
72907,9/1/2016 12:00:00 AM,20:15:07,2.22,54,30.46,65,145.26,1.12,22020,67080
73206,9/1/2016 12:00:00 AM,20:20:06,2.15,54,30.46,64,104.55,3.37,22020,67080
73502,9/1/2016 12:00:00 AM,20:25:02,2.1,54,30.46,66,158.6,3.37,22020,67080
73806,9/1/2016 12:00:00 AM,20:30:06,2.36,53,30.46,67,126.94,4.5,22020,67080
74107,9/1/2016 12:00:00 AM,20:35:07,2.58,53,30.46,69,117.98,6.75,22020,67080
74408,9/1/2016 12:00:00 AM,20:40:08,2.64,52,30.46,68,127.75,9.0,22020,67080
74705,9/1/2016 12:00:00 AM,20:45:05,2.57,51,30.46,68,92.36,7.87,22020,67080
75008,9/1/2016 12:00:00 AM,20:50:08,3.0,51,30.46,67,128.64,6.75,22020,67080
75308,9/1/2016 12:00:00 AM,20:55:08,3.02,51,30.46,66,142.37,3.37,22020,67080
75604,9/1/2016 12:00:00 AM,21:00:04,2.7,50,30.46,67,160.35,9.0,22020,67080
75907,9/1/2016 12:00:00 AM,21:05:07,3.38,50,30.46,68,167.13,4.5,22020,67080
76206,9/1/2016 12:00:00 AM,21:10:06,2.57,50,30.46,73,175.15,5.62,22020,67080
76504,9/1/2016 12:00:00 AM,21:15:04,2.54,50,30.47,78,198.36,6.75,22020,67080
76806,9/1/2016 12:00:00 AM,21:20:06,2.66,51,30.47,80,147.68,4.5,22020,67080
77103,9/1/2016 12:00:00 AM,21:25:03,2.47,51,30.47,86,163.58,3.37,22020,67080
77407,9/1/2016 12:00:00 AM,21:30:07,2.33,51,30.47,88,160.19,4.5,22020,67080
77705,9/1/2016 12:00:00 AM,21:35:05,2.28,51,30.47,88,120.1,1.12,22020,67080
78012,9/1/2016 12:00:00 AM,21:40:12,2.67,51,30.47,88,99.61,5.62,22020,67080
78306,9/1/2016 12:00:00 AM,21:45:06,2.6,51,30.46,88,116.78,11.25,22020,67080
78607,9/1/2016 12:00:00 AM,21:50:07,2.65,52,30.46,89,146.85,3.37,22020,67080
78904,9/1/2016 12:00:00 AM,21:55:04,2.6,52,30.46,86,146.43,2.25,22020,67080
79208,9/1/2016 12:00:00 AM,22:00:08,2.36,52,30.47,86,68.03,1.12,22020,67080
79508,9/1/2016 12:00:00 AM,22:05:08,2.16,52,30.47,91,124.12,1.12,22020,67080
79809,9/1/2016 12:00:00 AM,22:10:09,2.37,52,30.47,94,141.87,2.25,22020,67080
80105,9/1/2016 12:00:00 AM,22:15:05,2.04,52,30.47,95,128.9,4.5,22020,67080
80405,9/1/2016 12:00:00 AM,22:20:05,1.93,51,30.47,96,133.02,2.25,22020,67080
80704,9/1/2016 12:00:00 AM,22:25:04,2.68,51,30.47,97,169.82,3.37,22020,67080
81006,9/1/2016 12:00:00 AM,22:30:06,2.52,51,30.47,98,108.89,2.25,22020,67080
81304,9/1/2016 12:00:00 AM,22:35:04,3.03,51,30.47,98,141.09,5.62,22020,67080
81603,9/1/2016 12:00:00 AM,22:40:03,2.5,51,30.47,98,170.29,4.5,22020,67080
81904,9/1/2016 12:00:00 AM,22:45:04,2.13,51,30.46,99,134.31,6.75,22020,67080
82208,9/1/2016 12:00:00 AM,22:50:08,2.32,51,30.47,99,44.45,0.0,22020,67080
82509,9/1/2016 12:00:00 AM,22:55:09,1.99,51,30.46,99,154.29,2.25,22020,67080
82806,9/1/2016 12:00:00 AM,23:00:06,2.24,51,30.46,99,157.9,3.37,22020,67080
83104,9/1/2016 12:00:00 AM,23:05:04,2.52,50,30.46,98,169.11,5.62,22020,67080
83404,9/1/2016 12:00:00 AM,23:10:04,1.9,50,30.46,92,150.87,5.62,22020,67080
83710,9/1/2016 12:00:00 AM,23:15:10,1.92,51,30.46,83,147.04,6.75,22020,67080
84005,9/1/2016 12:00:00 AM,23:20:05,1.58,51,30.46,80,162.73,2.25,22020,67080
84305,9/1/2016 12:00:00 AM,23:25:05,2.28,52,30.46,78,171.41,3.37,22020,67080
84604,9/1/2016 12:00:00 AM,23:30:04,2.03,52,30.46,77,7.12,2.25,22020,67080
84904,9/1/2016 12:00:00 AM,23:35:04,1.79,52,30.46,86,148.24,3.37,22020,67080
85208,9/1/2016 12:00:00 AM,23:40:08,3.15,52,30.46,84,132.2,5.62,22020,67080
85503,9/1/2016 12:00:00 AM,23:45:03,3.3,52,30.46,81,142.77,4.5,22020,67080
85803,9/1/2016 12:00:00 AM,23:50:03,2.42,52,30.46,79,168.41,2.25,22020,67080
86107,9/1/2016 12:00:00 AM,23:55:07,3.05,52,30.46,76,69.32,2.25,22020,67080
4,9/2/2016 12:00:00 AM,00:00:04,2.76,52,30.46,76,142.78,3.37,22020,67020
305,9/2/2016 12:00:00 AM,00:05:05,2.5,53,30.46,73,128.97,2.25,22020,67020
1208,9/2/2016 12:00:00 AM,00:20:08,2.43,53,30.45,75,153.81,7.87,22020,67020
1506,9/2/2016 12:00:00 AM,00:25:06,2.24,52,30.45,75,155.02,10.12,22020,67020
2413,9/2/2016 12:00:00 AM,00:40:13,2.35,52,30.45,75,158.84,10.12,22020,67020
3008,9/2/2016 12:00:00 AM,00:50:08,1.64,52,30.45,75,155.69,6.75,22020,67020
3304,9/2/2016 12:00:00 AM,00:55:04,1.62,52,30.45,74,180.84,3.37,22020,67020
3602,9/2/2016 12:00:00 AM,01:00:02,1.84,52,30.45,75,162.75,6.75,22020,67020
3913,9/2/2016 12:00:00 AM,01:05:13,1.88,52,30.45,75,190.85,4.5,22020,67020
4204,9/2/2016 12:00:00 AM,01:10:04,3.45,52,30.45,75,185.84,9.0,22020,67020
4505,9/2/2016 12:00:00 AM,01:15:05,3.05,52,30.44,74,160.0,6.75,22020,67020
4806,9/2/2016 12:00:00 AM,01:20:06,3.63,52,30.44,74,158.18,5.62,22020,67020
5105,9/2/2016 12:00:00 AM,01:25:05,3.36,52,30.44,74,155.82,6.75,22020,67020
5404,9/2/2016 12:00:00 AM,01:30:04,2.42,52,30.44,74,159.1,4.5,22020,67020
5702,9/2/2016 12:00:00 AM,01:35:02,2.71,52,30.44,73,159.35,3.37,22020,67020
6008,9/2/2016 12:00:00 AM,01:40:08,2.44,51,30.44,74,117.01,4.5,22020,67020
6304,9/2/2016 12:00:00 AM,01:45:04,2.16,52,30.44,72,119.06,4.5,22020,67020
6608,9/2/2016 12:00:00 AM,01:50:08,2.8,52,30.44,72,132.63,1.12,22020,67020
6902,9/2/2016 12:00:00 AM,01:55:02,2.71,51,30.43,70,145.91,5.62,22020,67020
7506,9/2/2016 12:00:00 AM,02:05:06,2.76,51,30.43,72,165.12,6.75,22020,67020
7808,9/2/2016 12:00:00 AM,02:10:08,2.63,50,30.43,76,143.45,6.75,22020,67020
